source,pos,count
Rbc,NOUN,13305
Rbc,ADVB,781
Rbc,VERB,3935
Rbc,ADJF,3413
Rbc,UNKN,324
Rbc,GRND,75
Rbc,NUMR,74
Rbc,CONJ,39
Rbc,NPRO,2
Rbc,PRCL,4
Suspilne,ADJF,1616
Suspilne,NOUN,5279
Suspilne,VERB,1415
Suspilne,GRND,29
Suspilne,ADVB,252
Suspilne,UNKN,201
Suspilne,CONJ,8
Suspilne,NUMR,32
Suspilne,NPRO,2
Suspilne,PRCL,3
Ukr Pravda,ADJF,3921
Ukr Pravda,NOUN,13363
Ukr Pravda,VERB,3949
Ukr Pravda,ADVB,789
Ukr Pravda,UNKN,570
Ukr Pravda,NUMR,84
Ukr Pravda,CONJ,30
Ukr Pravda,GRND,78
Ukr Pravda,NPRO,2
Ukr Pravda,PREP,1
Ukr Pravda,PRCL,2
