source,term,tfidf
Rbc,україна,0.25401
Rbc,рбк україна,0.247791
Rbc,рбк,0.247791
Rbc,повідомляє рбк,0.219382
Rbc,україни,0.202695
Rbc,сша,0.180886
Rbc,квітня,0.175754
Rbc,україна посиланням,0.156934
Rbc,повідомляє,0.129571
Rbc,єс,0.128288
Rbc,посиланням,0.125722
Rbc,мадяр,0.119308
Rbc,трамп,0.092367
Rbc,словами,0.089801
Rbc,нагадаємо,0.087236
Rbc,заявив,0.085953
Rbc,україні,0.085953
Rbc,рф,0.080821
Rbc,ірану,0.078256
Rbc,орбана,0.07569
Suspilne,квітня,0.258179
Suspilne,заявив,0.17262
Suspilne,словами,0.169618
Suspilne,ірану,0.1441
Suspilne,сша,0.135094
Suspilne,трамп,0.132092
Suspilne,рф,0.130591
Suspilne,україни,0.124587
Suspilne,отцк,0.116908
Suspilne,whatsapp,0.083869
Suspilne,зокрема,0.076553
Suspilne,viber,0.076245
Suspilne,суспільне,0.075382
Suspilne,березня,0.075052
Suspilne,повідомив,0.073551
Suspilne,telegram,0.073551
Suspilne,має,0.07205
Suspilne,єс,0.070549
Suspilne,facebook,0.070549
Suspilne,зеленський,0.069048
Ukr Pravda,деталі,0.191724
Ukr Pravda,джерело,0.180175
Ukr Pravda,україни,0.174005
Ukr Pravda,квітня,0.16683
Ukr Pravda,сша,0.136334
Ukr Pravda,нагадаємо,0.114807
Ukr Pravda,заявив,0.091487
Ukr Pravda,пряма мова,0.091118
Ukr Pravda,пряма,0.091118
Ukr Pravda,україна,0.086106
Ukr Pravda,мова,0.080848
Ukr Pravda,рішення,0.07893
Ukr Pravda,області,0.077136
Ukr Pravda,словами,0.075342
Ukr Pravda,напрямку,0.073549
Ukr Pravda,атакували,0.073549
Ukr Pravda,зокрема,0.068167
Ukr Pravda,має,0.064579
Ukr Pravda,європейська правда,0.063783
Ukr Pravda,президент,0.062785
