source,stem,count
Rbc,україн,378
Rbc,угорщин,188
Rbc,сша,160
Rbc,квітен,157
Rbc,іран,151
Rbc,трамп,147
Rbc,рбк,141
Rbc,мадяр,140
Rbc,орбан,128
Rbc,країн,121
Rbc,повідомлят,119
Rbc,президент,115
Rbc,вибор,115
Rbc,заявит,108
Rbc,парті,107
Rbc,посил,105
Rbc,російськ,101
Rbc,переговор,95
Rbc,дрон,89
Rbc,нагадат,85
Suspilne,іран,90
Suspilne,заявит,75
Suspilne,квітен,74
Suspilne,військов,67
Suspilne,слов,60
Suspilne,мат,58
Suspilne,трамп,56
Suspilne,іранськ,50
Suspilne,україн,49
Suspilne,отцк,46
Suspilne,сша,45
Suspilne,повідомит,40
Suspilne,угорщин,38
Suspilne,мадяр,36
Suspilne,суспільн,29
Suspilne,тцк,29
Suspilne,війнут,28
Suspilne,бригад,28
Suspilne,американськ,27
Suspilne,лідер,27
Ukr Pravda,україн,137
Ukr Pravda,угорщин,97
Ukr Pravda,квітен,96
Ukr Pravda,джерел,91
Ukr Pravda,мат,88
Ukr Pravda,детал,84
Ukr Pravda,іран,82
Ukr Pravda,заявит,82
Ukr Pravda,російськ,81
Ukr Pravda,українськ,76
Ukr Pravda,сша,73
Ukr Pravda,країн,68
Ukr Pravda,дан,62
Ukr Pravda,дрон,60
Ukr Pravda,орбан,59
Ukr Pravda,робот,59
Ukr Pravda,повідомит,57
Ukr Pravda,нагадат,57
Ukr Pravda,удар,56
Ukr Pravda,тис,54
