Дата,лютого_факт,лютого_тренд,лютого_прогноз,україни_факт,україни_тренд,україни_прогноз,сша_факт,сша_тренд,сша_прогноз
15.02.2026,117.0,180.54,,105.0,180.14,,77.0,93.11,
16.02.2026,214.0,179.36,,224.0,183.14,,108.0,102.36,
17.02.2026,209.0,178.18,,186.0,186.14,,100.0,111.61,
18.02.2026,202.0,177.0,,240.0,189.14,,147.0,120.86,
19.02.2026,164.0,175.82,,225.0,192.14,,123.0,130.11,
20.02.2026,208.0,174.64,,224.0,195.14,,190.0,139.36,
21.02.2026,125.0,173.46,,120.0,198.14,,101.0,148.61,
22.02.2026,,,172.29,,,201.14,,,157.86
23.02.2026,,,171.11,,,204.14,,,167.11
24.02.2026,,,169.93,,,207.14,,,176.36
25.02.2026,,,168.75,,,210.14,,,185.61
26.02.2026,,,167.57,,,213.14,,,194.86
27.02.2026,,,166.39,,,216.14,,,204.11
28.02.2026,,,165.21,,,219.14,,,213.36
