word,frequency,avg_gap,std_gap,uniformity
березня,183,209.87362637362637,271.1614629234056,0.3539887130918682
україни,227,167.43805309734512,203.57807783059727,0.392079416641804
грн,111,302.07272727272726,663.8462131478524,0.0
деталі,144,266.13286713286715,235.85307853411055,0.5568884800381295
джерело,121,317.2583333333333,243.97238559016378,0.6154988538412485
сша,123,304.78688524590166,599.8217526148668,0.015998093010249792
євро,74,432.1917808219178,948.2402541858643,0.0
нагадаємо,143,258.23943661971833,166.48016967632284,0.6776631566125192
україні,93,399.6521739130435,545.4122779421607,0.3176412971785414
області,52,748.6274509803922,768.1993195392465,0.4869281653155897
