length,count,probability
3,1449,0.037813152400835076
4,2145,0.05597599164926931
5,4237,0.11056889352818372
6,5153,0.13447286012526097
7,5924,0.15459290187891442
8,5046,0.13168058455114823
9,4955,0.12930584551148225
10,3702,0.09660751565762005
11,2282,0.05955114822546973
12,1572,0.04102296450939457
13,907,0.02366910229645094
14,481,0.012552192066805846
15,196,0.00511482254697286
16,123,0.003209812108559499
17,75,0.0019572025052192066
18,23,0.0006002087682672234
19,20,0.0005219206680584551
20,18,0.0004697286012526096
21,7,0.0001826722338204593
22,5,0.00013048016701461377
